#gene_ID	consensus_cluster_ID	cluster_in_72hrPHS	gene_name
FBgn0032371	cluster935	clusterTSS_HS72_1061	CG4983
FBgn0032372	cluster938	clusterTSS_HS72_1064	CG4988
FBgn0032376	cluster2510	clusterTSS_HS72_2824	Tsp33B
FBgn0032385	cluster951	clusterTSS_HS72_1075	CG16964
FBgn0032419	cluster966	clusterTSS_HS72_1094	CG17217
FBgn0032424	cluster975	clusterTSS_HS72_1103	CG17010
FBgn0032428	cluster981	clusterTSS_HS72_1114	CG6405
FBgn0032431	cluster2553	clusterTSS_HS72_2872	CG5435
FBgn0032434	cluster2555	clusterTSS_HS72_2874	CG5421
FBgn0032448	cluster2574	clusterTSS_HS72_2894	CG5781
FBgn0032457	cluster2583	clusterTSS_HS72_2904	CG15483
FBgn0032464	cluster1006	clusterTSS_HS72_1140	Vha68-3
FBgn0032471	cluster1009	clusterTSS_HS72_1143	CG5122
FBgn0032473	cluster1011	clusterTSS_HS72_1145	CG5204
FBgn0032478	cluster1015	clusterTSS_HS72_1150	CG5458
FBgn0032483	cluster2611	clusterTSS_HS72_2939	CG15482
FBgn0032492	cluster1022	clusterTSS_HS72_1158	Prosalpha6T
FBgn0032519	cluster2630	clusterTSS_HS72_2960	CG16957
FBgn0032520	cluster2631	clusterTSS_HS72_2961	CG10859
FBgn0032522	cluster1053	clusterTSS_HS72_1190	CG16848
FBgn0032525	cluster2635	clusterTSS_HS72_2966	Hsp60D
FBgn0032530	cluster2639	clusterTSS_HS72_2970	CG9263
FBgn0032533	cluster2651	clusterTSS_HS72_2985	CG16888
FBgn0032553	cluster2691	clusterTSS_HS72_3026	CG4480
FBgn0032554	cluster2692	clusterTSS_HS72_3027	CG15278
FBgn0032563	cluster2728	clusterTSS_HS72_3069	CG15258
FBgn0032588	cluster2784	clusterTSS_HS72_3138	CG5968
FBgn0032590	cluster1207	clusterTSS_HS72_1362	CG4631
FBgn0032609	cluster2798	clusterTSS_HS72_3154	CG13280
FBgn0032626	cluster1243	clusterTSS_HS72_1406	CG12620
FBgn0032632	cluster2822	clusterTSS_HS72_3181	CG6380
FBgn0032636	cluster1255	clusterTSS_HS72_1419	CG5043
