""	"B1"	"B2"	"H1"	"H2"
"cluster193"	11.2181688885405	11.0355773150941	10.7904792265149	10.6843783311819
"cluster194"	7.14486687769634	7.17626670687936	6.98346065700456	7.01928406253003
"cluster195"	6.8146194634403	7.03730966237217	7.25316427694419	7.0622172541833
"cluster1779"	8.68277969326015	8.52096556267122	8.64146234260907	8.14701519965588
"cluster196"	7.62219122714471	7.75118298280427	7.32671528287031	7.33587307865322
"cluster1781"	9.49603977980742	9.40681150955719	8.92960401919401	8.61040743701744
"cluster1782"	6.14382566257194	5.94417855119415	4.95691359919125	5.11138733150034
"cluster197"	9.56071336453799	9.49464571777133	10.2208555583801	10.8040034206869
"cluster198"	5.15736889943416	5.56084138784876	4.22450625693254	4.12143198201555
"cluster1783"	5.41969774733364	5.68127008643944	6.26242300267287	5.6905518378069
"cluster1784"	11.9295762602385	11.893668651031	13.7909916308643	13.7666341450661
"cluster199"	10.5852299068544	10.4830545523981	10.3950149092058	10.0560616265648
"cluster1785"	7.48668818992282	7.3655583422923	9.98812851582608	10.5925214489214
"cluster1786"	8.21864613987265	8.31587686324804	7.91135926678757	7.83983638640557
"cluster1787"	8.09338505247419	7.79747507085843	7.36773300514099	6.96213420183252
"cluster200"	13.5340307616006	13.5344361956587	14.8823003578129	14.736690301936
"cluster1788"	0.638804970930773	0.689572338403337	11.8754342594631	12.0638401616491
"cluster202"	6.2057045681203	6.23118420677459	6.2391206292626	5.99112822529329
"cluster203"	1.14868851240585	-0.10824358306011	11.4276071658054	12.2634305554762
